word,count
exposed,  141 
assessment,  120 
governor,  168 
clearly,  282 
forecast,  212 
break,  213 
payout,  102 
milk,  239 
inflation,  291 
concern,  233 
tough,  175 
dropped,  105 
investors,  287 
lending,  116 
buying,  252 
rapid,  110 
reputation,  243 
inland,  104 
warned,  168 
ird,  150 
shared,  204 
prosperity,  189 
follows,  103 
driven,  175 
person,  380 
hasn,  200 
admitted,  292 
severe,  102 
fonterra,  183 
effect,  244 
comments,  109 
wouldn,  114 
meant,  212 
options,  215 
absolutely,  105 
debate,  210 
actually,  290 
spent,  448 
struggle,  108 
rivers,  263 
weekend,  127 
hear,  225 
emissions,  388 
west,  262 
waste,  199 
pressures,  133 
tackling,  159 
contracts,  249 
website,  130 
asset,  123 
prevent,  190 
agriculture,  166 
resource,  177 
takes,  180 
partnership,  261 
tools,  124 
quickly,  161 
identify,  100 
statement,  233 
helped,  127 
nuclear,  172 
addressing,  148 
created,  225 
turning,  106 
promised,  279 
surplus,  346 
black,  155 
promises,  158 
claim,  324 
history,  349 
completely,  174 
simon,  111 
bridges,  171 
travel,  104 
acting,  226 
concerning,  101 
picture,  107 
disaster,  130 
push,  113 
disease,  121 
majority,  197 
air,  179 
weapons,  145 
states,  176 
conference,  250 
tauranga,  115 
cold,  198 
damp,  107 
rental,  302 
properties,  303 
agency,  408 
salvation,  100 
rentals,  134 
email,  116 
hekia,  233 
parata,  240 
sit,  112 
street,  146 
wait,  136 
pretty,  109 
refused,  162 
asking,  155 
sitting,  116 
contribution,  125 
vision,  328 
collective,  140 
man,  135 
simple,  144 
ones,  150 
feel,  243 
speak,  154 
walk,  100 
car,  119 
door,  129 
gun,  106 
lost,  370 
stories,  132 
sign,  205 
thanks,  142 
saw,  191 
allow,  402 
talk,  267 
specific,  112 
threat,  194 
present,  119 
met,  197 
yesterday,  280 
language,  284 
pass,  128 
receiving,  129 
happened,  125 
events,  191 
known,  167 
australian,  264 
force,  313 
steps,  178 
question,  251 
course,  282 
words,  111 
final,  228 
idea,  231 
love,  100 
wasn,  134 
hit,  246 
link,  126 
councils,  320 
residential,  207 
continued,  137 
fit,  152 
agreements,  151 
funds,  137 
border,  114 
strategy,  281 
analysis,  122 
worker,  118 
retirement,  119 
savings,  171 
dollar,  245 
basic,  207 
gap,  175 
mistakes,  116 
judith,  203 
collins,  233 
knows,  151 
account,  236 
model,  221 
shot,  114 
paying,  376 
bills,  106 
wake,  115 
diversify,  130 
prepare,  114 
active,  145 
practical,  119 
chief,  278 
executive,  206 
cycle,  151 
transition,  263 
cutting,  218 
century,  179 
choose,  114 
choice,  175 
governments,  162 
press,  134 
paper,  178 
pilot,  104 
institutions,  142 
dhbs,  192 
independent,  459 
rapidly,  108 
study,  355 
movement,  142 
performance,  180 
seek,  122 
managed,  169 
islands,  132 
healthcare,  169 
principles,  132 
values,  260 
ballot,  110 
natural,  120 
particular,  141 
participation,  100 
order,  289 
respect,  111 
document,  135 
human,  353 
belief,  110 
purpose,  150 
efforts,  174 
promote,  135 
platform,  156 
democracy,  190 
interests,  284 
established,  175 
rainbow,  109 
unions,  124 
representatives,  156 
send,  104 
hold,  208 
activities,  109 
operating,  164 
secretary,  138 
president,  197 
proposals,  127 
voted,  108 
terms,  277 
standing,  150 
historic,  129 
heard,  194 
settlement,  299 
passing,  116 
professional,  142 
appointed,  110 
agenda,  148 
missing,  197 
visit,  177 
careers,  122 
win,  184 
story,  129 
recognise,  106 
war,  172 
marae,  159 
phone,  128 
reports,  223 
products,  223 
calling,  291 
investigation,  190 
serco,  151 
related,  152 
expected,  285 
rule,  145 
candidate,  145 
roskill,  108 
desperately,  151 
addressed,  100 
farming,  136 
broadband,  195 
reached,  111 
spokesman,  137 
innovative,  130 
wood,  147 
expenditure,  102 
companies,  510 
game,  104 
written,  161 
china,  227 
results,  184 
knew,  113 
portfolio,  104 
strengthen,  143 
reo,  280 
remove,  133 
governance,  100 
importance,  176 
works,  188 
prevention,  154 
strategic,  107 
leaders,  291 
sense,  257 
departments,  104 
claims,  439 
gave,  137 
mana,  137 
knowledge,  126 
marine,  124 
sent,  137 
peter,  154 
backed,  159 
solid,  115 
unit,  105 
underfunded,  101 
processes,  124 
petition,  153 
blame,  131 
delays,  120 
supposed,  135 
southland,  120 
developed,  193 
heating,  118 
fuel,  167 
consumers,  121 
field,  116 
contribute,  124 
vehicles,  113 
nationwide,  116 
charge,  133 
charter,  293 
explain,  245 
closure,  117 
meaning,  151 
basis,  175 
shouldn,  119 
risen,  119 
fell,  100 
nick,  487 
smith,  556 
officials,  294 
shortfall,  136 
shortage,  199 
skilled,  205 
reveal,  112 
visa,  103 
earn,  141 
kind,  177 
gets,  172 
talking,  172 
raise,  211 
network,  298 
truth,  123 
connect,  177 
earners,  107 
urgently,  147 
ngāti,  214 
meat,  136 
processing,  103 
informed,  108 
