word,count
outcome,  0.01 
want,  0.15 
knowing,  0.006 
try,  0.013 
worked,  0.033 
disability,  0.018 
dementia,  0.005 
abuse,  0.015 
groups,  0.048 
doctors,  0.009 
majority,  0.016 
law,  0.094 
unfortunately,  0.009 
ignored,  0.007 
nearly,  0.029 
asked,  0.029 
select,  0.047 
consideration,  0.011 
deputy,  0.028 
big,  0.058 
changing,  0.021 
decided,  0.011 
substantial,  0.009 
death,  0.012 
disappointing,  0.011 
labour,  0.21 
connor,  0.015 
closure,  0.012 
minor,  0.005 
technical,  0.01 
included,  0.028 
removing,  0.009 
disabilities,  0.007 
legal,  0.023 
terms,  0.028 
risks,  0.026 
final,  0.025 
crucial,  0.015 
vote,  0.026 
urge,  0.006 
proposed,  0.05 
votes,  0.006 
amendments,  0.006 
published,  0.012 
website,  0.033 
org,  0.014 
organisation,  0.025 
peoples,  0.006 
associate,  0.051 
transitional,  0.007 
property,  0.036 
programmes,  0.041 
reform,  0.031 
ensures,  0.007 
warm,  0.01 
dry,  0.008 
accommodation,  0.014 
lessons,  0.005 
staying,  0.006 
allows,  0.015 
alternative,  0.01 
tenants,  0.013 
moved,  0.01 
experienced,  0.015 
facility,  0.025 
introducing,  0.012 
diversity,  0.008 
register,  0.01 
representation,  0.006 
thrilled,  0.006 
contract,  0.01 
replacement,  0.007 
river,  0.026 
component,  0.005 
roading,  0.018 
aimed,  0.014 
delivery,  0.025 
projects,  0.128 
estimated,  0.019 
reaching,  0.009 
standards,  0.04 
horowhenua,  0.008 
efficient,  0.017 
travel,  0.034 
nzta,  0.027 
agricultural,  0.016 
plastic,  0.007 
recycling,  0.006 
scott,  0.031 
simpson,  0.029 
product,  0.011 
stewardship,  0.006 
irrigation,  0.013 
agriculture,  0.036 
horticulture,  0.011 
processes,  0.018 
products,  0.032 
farms,  0.013 
easy,  0.019 
practical,  0.02 
waste,  0.032 
collected,  0.008 
equivalent,  0.008 
environmental,  0.049 
aims,  0.013 
cycle,  0.016 
harm,  0.022 
promote,  0.015 
encourage,  0.05 
producers,  0.006 
minimisation,  0.006 
schemes,  0.008 
criteria,  0.011 
assessed,  0.006 
met,  0.025 
turn,  0.024 
objectives,  0.007 
targets,  0.042 
answer,  0.025 
questions,  0.056 
touch,  0.019 
question,  0.024 
love,  0.015 
hear,  0.036 
free,  0.093 
post,  0.024 
https,  0.006 
street,  0.02 
dunedin,  0.013 
effect,  0.023 
afternoon,  0.006 
affairs,  0.035 
spokesman,  0.009 
simply,  0.036 
bring,  0.041 
governments,  0.016 
accountable,  0.006 
far,  0.051 
violent,  0.008 
investigation,  0.01 
gun,  0.007 
supported,  0.035 
reason,  0.018 
hasn,  0.015 
jacinda,  0.024 
ardern,  0.03 
step,  0.045 
line,  0.043 
finally,  0.022 
offenders,  0.031 
completed,  0.031 
corrections,  0.056 
louise,  0.028 
upston,  0.041 
sentence,  0.007 
requires,  0.018 
complete,  0.026 
sentences,  0.008 
engaging,  0.01 
constructive,  0.008 
positive,  0.052 
responsibility,  0.03 
offending,  0.011 
learn,  0.028 
required,  0.04 
building,  0.101 
restoration,  0.008 
maintenance,  0.007 
knowledge,  0.022 
gain,  0.016 
paid,  0.027 
employment,  0.072 
know,  0.14 
maintaining,  0.01 
live,  0.047 
