word,count
pressures,  0.014 
tackling,  0.017 
contracts,  0.026 
website,  0.014 
asset,  0.013 
prevent,  0.02 
agriculture,  0.017 
resource,  0.019 
takes,  0.019 
partnership,  0.027 
tools,  0.013 
quickly,  0.017 
identify,  0.01 
statement,  0.024 
helped,  0.013 
nuclear,  0.018 
addressing,  0.016 
created,  0.024 
turning,  0.011 
promised,  0.029 
surplus,  0.036 
black,  0.016 
promises,  0.017 
claim,  0.034 
history,  0.037 
completely,  0.018 
simon,  0.012 
bridges,  0.018 
travel,  0.011 
acting,  0.024 
concerning,  0.011 
picture,  0.011 
disaster,  0.014 
push,  0.012 
disease,  0.013 
majority,  0.021 
air,  0.019 
weapons,  0.015 
states,  0.018 
conference,  0.026 
tauranga,  0.012 
cold,  0.021 
damp,  0.011 
rental,  0.032 
properties,  0.032 
agency,  0.043 
salvation,  0.01 
rentals,  0.014 
email,  0.012 
hekia,  0.024 
parata,  0.025 
sit,  0.012 
street,  0.015 
wait,  0.014 
pretty,  0.011 
refused,  0.017 
asking,  0.016 
sitting,  0.012 
contribution,  0.013 
vision,  0.034 
collective,  0.015 
man,  0.014 
simple,  0.015 
ones,  0.016 
feel,  0.026 
speak,  0.016 
walk,  0.01 
car,  0.012 
door,  0.014 
gun,  0.011 
lost,  0.039 
stories,  0.014 
sign,  0.022 
thanks,  0.015 
saw,  0.02 
allow,  0.042 
talk,  0.028 
specific,  0.012 
threat,  0.02 
present,  0.012 
met,  0.021 
yesterday,  0.029 
language,  0.03 
pass,  0.013 
receiving,  0.014 
happened,  0.013 
events,  0.02 
known,  0.018 
australian,  0.028 
force,  0.033 
steps,  0.019 
question,  0.026 
course,  0.03 
words,  0.012 
final,  0.024 
idea,  0.024 
love,  0.01 
wasn,  0.014 
hit,  0.026 
link,  0.013 
councils,  0.034 
residential,  0.022 
continued,  0.014 
fit,  0.016 
agreements,  0.016 
funds,  0.014 
border,  0.012 
strategy,  0.029 
analysis,  0.013 
worker,  0.012 
retirement,  0.012 
savings,  0.018 
dollar,  0.026 
basic,  0.022 
gap,  0.018 
mistakes,  0.012 
judith,  0.021 
collins,  0.024 
knows,  0.016 
account,  0.025 
model,  0.023 
shot,  0.012 
paying,  0.039 
bills,  0.011 
wake,  0.012 
diversify,  0.014 
prepare,  0.012 
active,  0.015 
practical,  0.012 
chief,  0.029 
executive,  0.022 
cycle,  0.016 
transition,  0.028 
cutting,  0.023 
century,  0.019 
choose,  0.012 
choice,  0.018 
governments,  0.017 
press,  0.014 
paper,  0.019 
pilot,  0.011 
institutions,  0.015 
dhbs,  0.02 
independent,  0.048 
rapidly,  0.011 
study,  0.037 
movement,  0.015 
performance,  0.019 
seek,  0.013 
managed,  0.018 
islands,  0.014 
healthcare,  0.018 
principles,  0.014 
values,  0.027 
ballot,  0.012 
natural,  0.013 
particular,  0.015 
participation,  0.01 
order,  0.03 
respect,  0.012 
document,  0.014 
human,  0.037 
belief,  0.012 
purpose,  0.016 
efforts,  0.018 
promote,  0.014 
platform,  0.016 
democracy,  0.02 
interests,  0.03 
established,  0.018 
rainbow,  0.011 
unions,  0.013 
representatives,  0.016 
send,  0.011 
hold,  0.022 
activities,  0.011 
operating,  0.017 
secretary,  0.014 
president,  0.021 
proposals,  0.013 
voted,  0.011 
terms,  0.029 
standing,  0.016 
historic,  0.014 
heard,  0.02 
settlement,  0.031 
passing,  0.012 
professional,  0.015 
appointed,  0.012 
agenda,  0.016 
missing,  0.021 
visit,  0.019 
careers,  0.013 
win,  0.019 
story,  0.014 
recognise,  0.011 
war,  0.018 
marae,  0.017 
phone,  0.013 
reports,  0.023 
products,  0.023 
calling,  0.031 
investigation,  0.02 
serco,  0.016 
related,  0.016 
expected,  0.03 
rule,  0.015 
candidate,  0.015 
roskill,  0.011 
desperately,  0.016 
addressed,  0.01 
farming,  0.014 
broadband,  0.02 
reached,  0.012 
spokesman,  0.014 
innovative,  0.014 
